taxon	term	p.value	method	fdr
g__Ruminococcus	treatment:day	0.20483954782257108	LMM	0.7771129543927818
g__Acidaminococcus	treatment	0.3029044086263136	LMM	0.7188504236159158
g__Acidaminococcus	day	0.0017412626316091761	LMM	0.0027701905502873253
g__Acidaminococcus	treatment:day	0.4564060846395117	LMM	0.9088520427818091
f__[Acidaminobacteraceae]; g__	treatment	0.7672737167461365	LMM	0.8392056276910869
f__[Acidaminobacteraceae]; g__	day	0.032867100239875345	LMM	0.04108387529984418
f__[Acidaminobacteraceae]; g__	treatment:day	0.9481326844380418	LMM	0.9990399453586847
g__Bulleidia	treatment	0.16357359856558482	LMM	0.7188504236159158
g__Bulleidia	day	1.256691043921512e-4	LMM	2.932279102483528e-4
g__Bulleidia	treatment:day	0.6516558683379312	LMM	0.9990399453586847
g__Catenibacterium	treatment	0.38456069911951885	LMM	0.7432087592079412
g__Catenibacterium	day	0.0039639339134845296	LMM	0.005780736957164938
g__Catenibacterium	treatment:day	0.14622714728648561	LMM	0.7771129543927818
f__Erysipelotrichaceae; g__p-75-a5	treatment	0.9807053011647363	LMM	0.9807053011647363
f__Erysipelotrichaceae; g__p-75-a5	day	3.2080017345112e-4	LMM	6.297724568800144e-4
f__Erysipelotrichaceae; g__p-75-a5	treatment:day	0.8277082631058292	LMM	0.9990399453586847
o__Tremblayales; f__; g__	treatment	0.5945670073663529	LMM	0.7432087592079412
o__Tremblayales; f__; g__	day	3.625629914278123e-4	LMM	6.678791947354437e-4
o__Tremblayales; f__; g__	treatment:day	0.5059689026474894	LMM	0.9320479785611646
g__Campylobacter	treatment	0.45366761261515576	LMM	0.7432087592079412
g__Campylobacter	day	0.014031819670240418	LMM	0.018888988017631333
g__Campylobacter	treatment:day	0.9801337887380583	LMM	0.9990399453586847
g__Escherichia	treatment	0.5871671803824383	LMM	0.7432087592079412
g__Escherichia	day	6.722087938440966e-4	LMM	0.001176365389227169
g__Escherichia	treatment:day	0.7282693697257077	LMM	0.9990399453586847
